CMDLINE /home/ufabc/anaconda3/bin/python3.6 trie.py
MEM 1.632812 1573782244.0083
MEM 20.003906 1573782244.1086
MEM 30.171875 1573782244.2089
MEM 39.250000 1573782244.3093
MEM 37.015625 1573782244.4096
MEM 45.148438 1573782244.5099
MEM 46.566406 1573782244.6102
MEM 61.503906 1573782244.7105
MEM 76.878906 1573782244.8108
MEM 88.550781 1573782244.9112
MEM 92.503906 1573782245.0115
MEM 95.171875 1573782245.1118
MEM 97.562500 1573782245.2122
MEM 99.078125 1573782245.3125
MEM 99.078125 1573782245.4128
MEM 99.894531 1573782245.5131
MEM 100.144531 1573782245.6134
MEM 100.394531 1573782245.7137
MEM 100.644531 1573782245.8140
MEM 100.894531 1573782245.9143
MEM 101.144531 1573782246.0146
MEM 101.394531 1573782246.1150
MEM 101.394531 1573782246.2153
MEM 101.644531 1573782246.3156
MEM 101.894531 1573782246.4159
MEM 102.148438 1573782246.5162
MEM 102.394531 1573782246.6165
MEM 102.648438 1573782246.7167
MEM 102.894531 1573782246.8170
MEM 102.894531 1573782246.9173
MEM 103.148438 1573782247.0176
MEM 103.394531 1573782247.1179
MEM 103.894531 1573782247.2182
MEM 104.144531 1573782247.3186
MEM 104.394531 1573782247.4189
MEM 104.644531 1573782247.5192
MEM 104.898438 1573782247.6195
MEM 105.144531 1573782247.7198
MEM 105.398438 1573782247.8201
MEM 105.656250 1573782247.9204
MEM 105.914062 1573782248.0207
MEM 106.171875 1573782248.1210
MEM 106.394531 1573782248.2213
MEM 106.894531 1573782248.3216
MEM 107.148438 1573782248.4219
MEM 107.394531 1573782248.5222
MEM 107.648438 1573782248.6225
MEM 107.906250 1573782248.7228
MEM 108.164062 1573782248.8230
MEM 108.421875 1573782248.9233
MEM 108.937500 1573782249.0236
MEM 109.195312 1573782249.1239
MEM 109.453125 1573782249.2241
MEM 109.710938 1573782249.3244
MEM 110.144531 1573782249.4247
MEM 110.394531 1573782249.5250
MEM 110.648438 1573782249.6252
MEM 110.894531 1573782249.7255
MEM 111.144531 1573782249.8257
MEM 111.394531 1573782249.9260
MEM 111.644531 1573782250.0263
MEM 111.898438 1573782250.1266
MEM 112.156250 1573782250.2269
MEM 112.414062 1573782250.3272
MEM 112.671875 1573782250.4274
MEM 112.929688 1573782250.5277
MEM 113.394531 1573782250.6279
MEM 113.644531 1573782250.7282
MEM 113.898438 1573782250.8284
MEM 114.144531 1573782250.9286
MEM 114.394531 1573782251.0289
MEM 114.648438 1573782251.1292
MEM 114.894531 1573782251.2294
MEM 115.394531 1573782251.3297
MEM 115.644531 1573782251.4299
MEM 116.894531 1573782251.5303
MEM 117.144531 1573782251.6306
MEM 117.144531 1573782251.7308
MEM 117.144531 1573782251.8311
MEM 117.144531 1573782251.9314
MEM 117.144531 1573782252.0317
MEM 117.402344 1573782252.1320
MEM 117.402344 1573782252.2323
MEM 117.652344 1573782252.3326
MEM 117.902344 1573782252.4329
MEM 118.152344 1573782252.5332
MEM 118.402344 1573782252.6335
MEM 118.402344 1573782252.7338
MEM 118.656250 1573782252.8341
MEM 118.914062 1573782252.9344
MEM 119.171875 1573782253.0347
MEM 119.402344 1573782253.1350
MEM 119.402344 1573782253.2353
MEM 119.656250 1573782253.3355
MEM 119.902344 1573782253.4357
MEM 121.156250 1573782253.5360
MEM 122.902344 1573782253.6363
MEM 123.156250 1573782253.7366
MEM 123.156250 1573782253.8369
MEM 123.156250 1573782253.9371
MEM 123.156250 1573782254.0374
MEM 123.156250 1573782254.1377
MEM 123.421875 1573782254.2380
MEM 123.671875 1573782254.3384
MEM 123.921875 1573782254.4387
MEM 123.921875 1573782254.5390
MEM 124.171875 1573782254.6392
MEM 124.421875 1573782254.7395
MEM 124.421875 1573782254.8398
MEM 124.671875 1573782254.9401
MEM 124.921875 1573782255.0404
MEM 125.171875 1573782255.1407
MEM 125.171875 1573782255.2410
MEM 125.421875 1573782255.3413
MEM 125.671875 1573782255.4416
MEM 125.921875 1573782255.5419
MEM 126.171875 1573782255.6421
MEM 126.421875 1573782255.7424
MEM 126.671875 1573782255.8427
MEM 126.921875 1573782255.9430
MEM 127.171875 1573782256.0433
MEM 127.171875 1573782256.1436
MEM 127.421875 1573782256.2440
MEM 127.671875 1573782256.3443
MEM 127.925781 1573782256.4446
MEM 128.183594 1573782256.5448
MEM 128.421875 1573782256.6450
MEM 128.925781 1573782256.7453
MEM 129.183594 1573782256.8455
MEM 129.421875 1573782256.9457
MEM 129.671875 1573782257.0460
MEM 129.925781 1573782257.1463
MEM 130.171875 1573782257.2466
MEM 130.421875 1573782257.3469
MEM 130.671875 1573782257.4472
MEM 130.925781 1573782257.5474
MEM 131.183594 1573782257.6477
MEM 131.441406 1573782257.7479
MEM 131.671875 1573782257.8482
MEM 131.925781 1573782257.9484
MEM 132.171875 1573782258.0487
MEM 132.421875 1573782258.1490
MEM 132.671875 1573782258.2493
MEM 132.925781 1573782258.3496
MEM 133.183594 1573782258.4499
MEM 133.441406 1573782258.5502
MEM 133.671875 1573782258.6505
MEM 133.925781 1573782258.7507
MEM 134.183594 1573782258.8509
MEM 134.441406 1573782258.9512
MEM 134.671875 1573782259.0515
MEM 134.925781 1573782259.1518
MEM 135.183594 1573782259.2520
MEM 135.671875 1573782259.3523
MEM 136.425781 1573782259.4526
MEM 137.195312 1573782259.5529
MEM 137.195312 1573782259.6532
MEM 137.195312 1573782259.7535
MEM 137.195312 1573782259.8538
MEM 137.453125 1573782259.9541
MEM 137.453125 1573782260.0544
MEM 137.710938 1573782260.1547
MEM 137.968750 1573782260.2550
MEM 138.226562 1573782260.3553
MEM 138.425781 1573782260.4556
MEM 138.679688 1573782260.5559
MEM 138.925781 1573782260.6562
MEM 139.179688 1573782260.7565
MEM 139.179688 1573782260.8568
MEM 139.437500 1573782260.9571
MEM 139.675781 1573782261.0574
MEM 139.925781 1573782261.1577
MEM 140.179688 1573782261.2580
MEM 140.437500 1573782261.3583
MEM 140.675781 1573782261.4587
MEM 140.925781 1573782261.5590
MEM 141.175781 1573782261.6593
MEM 141.425781 1573782261.7596
MEM 141.675781 1573782261.8599
MEM 141.929688 1573782261.9602
MEM 142.187500 1573782262.0605
MEM 142.425781 1573782262.1608
MEM 142.925781 1573782262.2611
MEM 143.179688 1573782262.3614
MEM 143.425781 1573782262.4617
MEM 144.195312 1573782262.5621
MEM 145.226562 1573782262.6625
MEM 145.226562 1573782262.7628
MEM 145.226562 1573782262.8630
MEM 145.226562 1573782262.9633
MEM 145.226562 1573782263.0636
MEM 145.226562 1573782263.1639
MEM 145.425781 1573782263.2641
MEM 145.675781 1573782263.3644
MEM 145.925781 1573782263.4646
MEM 145.925781 1573782263.5649
MEM 146.175781 1573782263.6652
MEM 146.425781 1573782263.7654
MEM 146.675781 1573782263.8657
MEM 146.925781 1573782263.9661
MEM 146.925781 1573782264.0664
MEM 147.179688 1573782264.1667
MEM 147.425781 1573782264.2670
MEM 147.675781 1573782264.3673
MEM 147.925781 1573782264.4676
MEM 148.175781 1573782264.5679
MEM 148.429688 1573782264.6682
